Country,Year-Month,New_Confirmed,New_Deaths,New_Recovered,Total_Confirmed(new+previous)
Antigua and Barbuda,01-04-2020,17,3,11,24
Antigua and Barbuda,01-05-2020,2,0,8,26
Antigua and Barbuda,01-06-2020,43,0,3,69
Antigua and Barbuda,01-07-2020,23,0,45,91
Antigua and Barbuda,01-08-2020,3,0,24,94
Antigua and Barbuda,01-09-2020,7,0,1,101
Antigua and Barbuda,01-10-2020,27,0,25,128
Antigua and Barbuda,01-11-2020,13,1,13,141
Antigua and Barbuda,01-12-2020,18,1,18,159
Antigua and Barbuda,01-01-2021,75,2,29,234
Antigua and Barbuda,01-02-2021,496,7,124,730
Antigua and Barbuda,01-03-2021,406,14,519,1136
Antigua and Barbuda,01-04-2021,96,4,194,1232
Antigua and Barbuda,01-05-2021,29,10,199,1260
Antigua and Barbuda,01-06-2021,3,0,8,1263
Antigua and Barbuda,01-07-2021,40,1,14,1303
Antigua and Barbuda,01-08-2021,412,1,4,1715
Antigua and Barbuda,01-09-2021,1516,35,0,3231
Antigua and Barbuda,01-10-2021,827,23,0,4058
Antigua and Barbuda,01-11-2021,83,15,0,4141
Antigua and Barbuda,01-12-2021,142,2,0,4283
Antigua and Barbuda,01-01-2022,2344,8,0,6627
Antigua and Barbuda,01-02-2022,810,8,0,7437
Antigua and Barbuda,01-03-2022,54,0,0,7491
Antigua and Barbuda,01-04-2022,44,0,0,7535
Argentina,01-01-2020,0,0,0,0
Argentina,01-02-2020,0,0,0,0
Argentina,01-03-2020,1054,27,240,1054
Argentina,01-04-2020,3374,191,1016,4428
Argentina,01-05-2020,12423,321,4080,16851
Argentina,01-06-2020,47679,768,16692,64530
Argentina,01-07-2020,126772,2236,61752,191302
Argentina,01-08-2020,226433,5117,217415,417735
Argentina,01-09-2020,333266,8277,293450,751001
Argentina,01-10-2020,415923,14065,379294,1166924
Argentina,01-11-2020,257609,7728,283288,1424533
Argentina,01-12-2020,200981,4515,169449,1625514
Argentina,01-01-2021,301725,4729,294974,1927239
Argentina,01-02-2021,180126,3991,183371,2107365
Argentina,01-03-2021,241456,3893,197595,2348821
Argentina,01-04-2021,628542,8007,531690,2977363
Argentina,01-05-2021,804421,14228,716296,3781784
Argentina,01-06-2021,688590,16211,726319,4470374
Argentina,01-07-2021,459390,11417,492631,4929764
Argentina,01-08-2021,255856,6091,46282,5185620
Argentina,01-09-2021,71282,3367,0,5256902
Argentina,01-10-2021,31905,771,0,5288807
Argentina,01-11-2021,41941,639,0,5330748
